photoid,userid,x,y
3971783895,35247235@N02,-348889.53,345882.68
3971782177,35247235@N02,-360403.93,293894.41
3971791231,35247235@N02,-339114.27,399469.18
3971790857,35247235@N02,-340814.74,399314.08
3971792933,35247235@N02,-130690.08,282093.51
3704435355,83646108@N00,-267225.47,49687.58
6626121971,29056926@N02,-211766.73,-22772.9
2750376825,10922042@N02,-305972.04,331557.42
2750344607,10922042@N02,-346450.99,343257.72
1481705704,10922042@N02,-348219.53,346248.85
6485411481,90214320@N00,-202314.41,287635.07
6497006901,90214320@N00,-202893.77,288552.04
6496801119,90214320@N00,-193726.56,261911.64
6497031889,90214320@N00,-200524.85,320570.55
6485404619,90214320@N00,-202369.32,288161.38
6489591081,90214320@N00,-200478.39,288052.38
6496774471,90214320@N00,-194798.86,279380.81
6485384147,90214320@N00,-202578.99,287847.23
6489595237,90214320@N00,-200367.78,288042.4
6497012961,90214320@N00,-200675.95,321184.28
6485391383,90214320@N00,-202440.78,288068.21
6489608535,90214320@N00,-200206.27,288035.59
6485414497,90214320@N00,-201265.78,288650.32
6497043053,90214320@N00,-200895.05,321252.64
6489568093,90214320@N00,-201150.74,288635
6495880115,90214320@N00,-201265.51,288840.36
6485407893,90214320@N00,-202361.4,287790.09
6496768813,90214320@N00,-194900.39,279018.95
6496813419,90214320@N00,-199667.07,287537.11
6489583169,90214320@N00,-200916.89,288105
6489578151,90214320@N00,-201196.88,288172.66
6496780289,90214320@N00,-194844.38,278741.23
5399186516,32389209@N05,-260246.55,1357.6
5398596041,32389209@N05,-258065.73,24109.34
5399192242,32389209@N05,-261647.97,2894.86
5398591203,32389209@N05,-263542.96,2029.37
1464207365,49642174@N00,-122082.7,-112402.84
4006173787,71207200@N00,-213653.86,-80650.98
8414598263,28683337@N07,-210690.82,-24065.65
2568429412,7593288@N07,-188804.44,-114613.57
3724086754,7593288@N07,-179762.41,-115336.83
3116355719,7593288@N07,-180284.81,-116430.01
3090459771,7593288@N07,-183232.51,-116640.94
2438701889,7593288@N07,-182855.21,-114998.24
2621731692,7593288@N07,-179602.51,-115491.33
3971949741,7593288@N07,-188648.38,-114634.19
3229721781,7593288@N07,-179612.64,-114556.22
3151603015,7593288@N07,-187031.54,-115813.93
2088196658,7593288@N07,-220011.88,-42299.01
2568400354,7593288@N07,-188989.81,-114714.26
3656711371,7593288@N07,-194840.92,-109770.11
2279024848,7593288@N07,-182937.05,-116658.81
3363238071,7593288@N07,-181559.47,-116328.27
2950982948,7593288@N07,-216946.08,-24613.92
2463034728,7593288@N07,-181912.19,-116578.04
2891412178,7593288@N07,-178070.03,-115444.8
3557219313,7593288@N07,-180015.52,-115303.41
2559540641,7593288@N07,-173596.28,-114255.38
2235715856,7593288@N07,-180195.86,-116554.87
2568429428,7593288@N07,-188481.51,-114851.39
2903470006,7593288@N07,-172579.77,-162299.8
8719743611,40522857@N07,-214616.2,160080.21
8622187966,40522857@N07,-214588.03,159747.87
8699175382,40522857@N07,-216363.79,157959.48
8637912512,40522857@N07,-218321.61,174756.2
8610552584,40522857@N07,-209620.63,402926.95
8636808751,40522857@N07,-218458.4,174053.69
8723628272,40522857@N07,-215458,159807.6
8640510354,40522857@N07,-215817.83,157930.22
5913912911,29233640@N07,-167358.85,34210.88
5386665572,29233640@N07,-118751.5,63616.61
5473068824,29233640@N07,-168861.84,32019
5437332877,29233640@N07,-152982.93,58365.5
2811490916,29233640@N07,-171106.89,41676.21
5641757333,29233640@N07,-120332.98,62861.9
3277415195,29233640@N07,-168750.97,43236.55
5735712618,29233640@N07,-168917.84,34143.37
3665921921,29233640@N07,-137975.69,76363.97
6733980921,29233640@N07,-168693.57,42654.32
8172561544,29233640@N07,-119506.04,65416.57
4142074103,29233640@N07,-134159.79,62288.06
5473068382,29233640@N07,-169128.43,32181.66
3756532283,29233640@N07,-119868.55,66676.49
8235121390,29233640@N07,-168322.19,32002.34
9052013331,29233640@N07,-130472.43,63344.32
5437940940,29233640@N07,-172618.6,39054.03
5720867796,29233640@N07,-172392.03,39678.85
7356355630,29233640@N07,-221619.48,-12198.93
5720310257,29233640@N07,-175781.15,38294.04
8715444325,29233640@N07,-165443.97,43354.4
8530523822,29233640@N07,-130810.05,62162.56
6994549545,29233640@N07,-138453.42,76366.42
5473068648,29233640@N07,-168844.54,31762.02
8117846347,29233640@N07,-129948.99,63290.36
6535411745,29233640@N07,-95536.74,70907.32
3386073037,29233640@N07,-168792.97,38932.51
3044654025,7895628@N03,-327665.12,150716.78
8726954845,7895628@N03,-172251.32,-151679.73
6972645063,60509459@N00,-210322.98,-22097.2
5972289810,60509459@N00,-214106.57,-23931.47
5972291182,60509459@N00,-213092.07,-20584.01
6972643065,60509459@N00,-220503.67,-6273.37
5971733579,60509459@N00,-210362.62,-21910.94
5972290832,60509459@N00,-212397.07,-20342.53
6826529396,60509459@N00,-213112.92,-25054.17
5971731403,60509459@N00,-213567.42,-22968.38
5972290048,60509459@N00,-213660.23,-20586.47
6826526438,60509459@N00,-218146.62,-18036.63
5972289126,60509459@N00,-211086.17,-22492.25
7674559908,26104563@N00,-340858.82,403766.69
7640989754,26104563@N00,-308712.3,163550.56
7658949740,26104563@N00,-335771.63,273107.53
7634401148,26104563@N00,-317873.56,164931.11
7646800124,26104563@N00,-338041.7,276556.04
7646786764,26104563@N00,-338098.21,276425.92
7634395122,26104563@N00,-323591.02,165550.54
7662740288,26104563@N00,-333618.16,270622.28
7627273554,26104563@N00,-342041.69,403741.15
7634407086,26104563@N00,-305575.7,161885.95
7634389940,26104563@N00,-327361.57,165522.45
7653563098,26104563@N00,-337033.92,273648.85
7674555766,26104563@N00,-340372.99,404137.78
7658942166,26104563@N00,-335261.76,272723.01
7653584946,26104563@N00,-337422.36,273948.47
7646790768,26104563@N00,-336005.01,371052.97
7640992826,26104563@N00,-322981.95,174150.94
7658936866,26104563@N00,-335570.08,272848.47
7681048026,26104563@N00,-329483.91,257007.66
7627247460,26104563@N00,-341159.72,403692.4
7646794996,26104563@N00,-335749,369100.98
7658946588,26104563@N00,-336577.09,273807.66
7640982062,26104563@N00,-322999.43,176497.97
7662734012,26104563@N00,-322153.22,250387.93
7662726480,26104563@N00,-340978.33,403739.75
7662718620,26104563@N00,-322017.95,250846.95
7674552926,26104563@N00,-340584.01,403943.69
7595302782,26104563@N00,-343986.95,417912.55
524346212,84495740@N00,-370892.38,257903.12
524315250,84495740@N00,-370397.37,270555.03
524374029,84495740@N00,-370523.34,260842.25
524352734,84495740@N00,-339609.94,266142.75
524314340,84495740@N00,-371273.65,273066.6
524312056,84495740@N00,-372995.97,277447.1
524318644,84495740@N00,-369977.57,259841.65
524313052,84495740@N00,-372362.75,274119.74
524320532,84495740@N00,-369878.39,261205.62
524310876,84495740@N00,-370150.9,281918.49
524316496,84495740@N00,-370062.52,260697.2
524317572,84495740@N00,-370123.83,260157.68
524410157,84495740@N00,-327818.87,147993.37
2281901483,33621289@N00,4013.8,-55287.35
2279559373,33621289@N00,-103806.2,-102774.41
2279352749,33621289@N00,-199801.1,-66926.21
2281133695,33621289@N00,29768.55,-33254.43
2282708494,33621289@N00,-205472.34,29157.2
2280564221,33621289@N00,35965.11,-30267.07
2282384023,33621289@N00,-205335.02,47349.81
2292268872,33621289@N00,-103755.84,-102894.53
2280578961,33621289@N00,39246.54,-30174.02
2280572867,33621289@N00,37570.13,-29835.56
2281351888,33621289@N00,36128.75,-30113.62
2280051845,33621289@N00,28462.87,-33405.72
2281338408,33621289@N00,35180.71,-30983.45
2280583299,33621289@N00,39630.18,-29758.22
2280567651,33621289@N00,36067.55,-29942.24
2283232248,33621289@N00,-206569.08,51858.32
2280575509,33621289@N00,38418.98,-30075.04
2279452739,33621289@N00,-212536.65,-74555.85
2282435843,33621289@N00,-208441.6,53571.74
2282591318,33621289@N00,35501.78,-55798.52
4806322617,34829087@N06,-226120.46,-10683.79
4836105615,34829087@N06,-342949.09,371425.44
4806320271,34829087@N06,-339561.34,426340.68
5724747257,33098013@N05,-292166.92,140013.75
5724735209,33098013@N05,-322617.18,146053.16
5725274524,33098013@N05,-326689.19,146688.51
5724750831,33098013@N05,-301704.89,126314.82
5725310232,33098013@N05,-297486.72,122202.21
5725306814,33098013@N05,-328082.78,150449.17
5724748367,33098013@N05,-309532.96,144643.06
4774411511,50313653@N04,-225231.59,336517.02
4748042028,50313653@N04,-338818.83,283162.03
5072139415,50313653@N04,-349111.89,444970.21
4775051442,50313653@N04,-233867.15,313111.8
4774450099,50313653@N04,-349149.21,345315.27
4775088654,50313653@N04,-348877.99,345238.73
4821903510,50313653@N04,-130891.89,64064.69
6129527836,50313653@N04,-218125.53,-18097.45
6182843599,16482030@N00,-181170.83,-11051.95
6293488799,98732074@N00,-36642.01,-7268.15
3464156443,98732074@N00,-323371.86,228012.46
3464971108,98732074@N00,-323342.93,228165.73
4553715720,98732074@N00,-209376.02,-27153.7
8611569949,65251729@N08,-220724.82,-24450.12
7654667414,65251729@N08,-127887.04,275671.51
8681976191,65251729@N08,-252767.94,4847.93
7595621970,65251729@N08,-128114.71,275602.61
7858761842,65251729@N08,-127844.96,275177.51
4983106051,79821649@N00,-342501.35,423955.77
4983165891,79821649@N00,-337441.27,427168.79
4983063651,79821649@N00,-342959.42,423954.36
4983747970,79821649@N00,-337480.79,426328.84
4983716192,79821649@N00,-341351.38,424737.17
4983036315,79821649@N00,-343905.36,423751.57
4983143235,79821649@N00,-338523.3,426203.04
4983131339,79821649@N00,-340565.3,425875.4
4983135843,79821649@N00,-339952.35,426321.34
4983641912,79821649@N00,-343830.91,423897.06
4983755802,79821649@N00,-337752.39,425741.01
4983750888,79821649@N00,-337495.65,426482.2
3221705092,42937777@N00,-211965.2,-20092.43
12828427795,48012277@N05,-339875.99,383369.92
6168597130,48012277@N05,-196054.07,244833.3
7799935522,48012277@N05,-183425.82,265352.51
7927590188,72959997@N00,-252850.97,6416.51
8607279930,72959997@N00,-221944.37,8538.69
8607284364,72959997@N00,-221983.62,8706.55
8606182891,72959997@N00,-222062.11,8504.81
6338939241,72959997@N00,-199536.24,288390.88
7842876122,29820142@N08,-131906.2,265239.96
8473124906,13101981@N03,-212831.88,-25806.97
8473126396,13101981@N03,-213212.66,-25778.33
8473123172,13101981@N03,-213408.4,-25311.17
8472036019,13101981@N03,-213029.34,-25847.18
6184178582,93452909@N00,-203865.98,383719.75
5636962417,93452909@N00,-124083.07,313232.98
8952400113,69587043@N07,-138895.61,-16381.26
9256650368,69587043@N07,-184419.64,-49396.3
9302242728,69587043@N07,-142009.05,-18498.94
9154619422,69587043@N07,-141702.26,-18202.74
11595912955,69587043@N07,-142375.21,-18733.84
8958068309,69587043@N07,-140104.1,-16481.54
8950642643,69587043@N07,-126063.49,-29675.08
9839031655,69587043@N07,-142117.45,-17773.62
8728773651,69587043@N07,-169469.81,-33194
8963087769,69587043@N07,-142000.83,-18016.77
9784814302,69587043@N07,-126090.85,-31486
9294580805,69587043@N07,-125281.7,-29928.34
8960241100,69587043@N07,-141754.42,-17719.55
10329180454,69587043@N07,-142012.13,-18679.78
9030185606,69587043@N07,-189263.52,-42076.8
9263660528,69587043@N07,-142180.23,-17893.18
8950650577,69587043@N07,-141876.08,-17777.74
11765262275,69587043@N07,-89975.13,-96262.62
11822639416,69587043@N07,-125142.69,-28723.69
8960238346,69587043@N07,-141938.5,-17897.31
8890980590,69587043@N07,-140348.48,-16658.32
9728885708,69587043@N07,-142767.68,-16978.88
8735790001,69587043@N07,-126606.36,-29606.49
8890360029,69587043@N07,-141070.35,-16525.49
8959050843,69587043@N07,-112434.41,-36271.44
8964286174,69587043@N07,-142423.83,-18009.54
9025650189,69587043@N07,-142665.54,-18065.67
3660200077,29625499@N04,-183670.2,-116626.64
3660980712,29625499@N04,-183548.67,-116654.08
3660989824,29625499@N04,-183431.85,-116636.61
3660996302,29625499@N04,-183298.52,-116604.26
2244993241,86518301@N00,-264822.64,2048.92
4890502386,44004549@N05,-217542.6,-20484.13
9402849680,54829270@N00,-203177.79,288168.48
12552755634,54829270@N00,-188089.9,-73398.01
9176782981,54829270@N00,-212686.8,-23390.78
8668852489,54829270@N00,-214552.44,-58755.47
8760384167,54829270@N00,-169450.05,-156013.92
9400076895,54829270@N00,-317543.1,211890.09
5952993899,19059109@N00,-235770.5,-8777.77
5719814028,37632458@N00,-221777.56,-47402.32
5385581976,37632458@N00,-223033.58,-10303.9
5239177649,37632458@N00,-180567.41,-67561.86
5445464303,37632458@N00,-221802.07,-51281.48
5756761644,37632458@N00,-217255.11,-24538.92
5321467444,37632458@N00,-12760.2,126267.58
5258719299,37632458@N00,3102.71,103412.15
5308007669,37632458@N00,-213791,-25759.08
15698315,33251718@N00,-214332.27,-23346.63
8909095469,34450190@N08,-178991.34,255680.02
9346246029,34450190@N08,-138977.43,334082.54
9062377145,34450190@N08,-323403.94,177781.67
7744610630,34450190@N08,-127509.12,272425.86
9234386382,34450190@N08,-126245.4,410997.16
9070492573,34450190@N08,-323327.7,177427.34
11346306583,9062441@N02,-256261.76,16859.42
2143822251,9062441@N02,-226729.01,26585.64
2144972652,9062441@N02,-232131.63,14082.32
2163948177,9062441@N02,-238775.27,50708.18
4285820475,9062441@N02,-198292.14,-20914.39
8686649530,8652332@N04,-253925.44,74850.13
6357123129,8652332@N04,-142583.95,61890.37
8067507360,8652332@N04,-289987,66108.87
5463991572,8652332@N04,-283082.06,180296.68
5470103419,8652332@N04,-275729.36,130047.6
5840449529,8652332@N04,-275780.96,169910.29
6291595447,8652332@N04,-225789.18,-15013.88
5470696584,8652332@N04,-275928.53,129914.2
9395451856,8652332@N04,-284104.79,60453.2
4347003909,23326361@N04,-220474.78,50305.65
7065234785,23326361@N04,-293199.72,75549.71
3044588848,23326361@N04,-204264.93,113261.33
3043770467,23326361@N04,-208239.66,116439.65
8546180917,23122254@N07,-180045.71,-115280.53
8547508496,23122254@N07,-211611.34,-22723.58
8546407421,23122254@N07,-217058.52,-20518.55
8546845889,23122254@N07,-179407.06,-115672.82
8547503464,23122254@N07,-213234.92,-20161.89
8547279752,23122254@N07,-180097.42,-116464.14
2567522679,24945172@N00,-156184.43,191388.24
6247339134,26105073@N03,-190832.31,4305.29
7560919776,26105073@N03,-178313.68,52767.4
7779082284,26105073@N03,-323293.62,177657.74
8119150069,26105073@N03,-184896.48,13935.44
6030098612,26105073@N03,-182361.76,29117.34
7602608442,26105073@N03,-199116.88,12359.09
7895238490,26105073@N03,-212238.6,-19418.14
5455801405,26105073@N03,-187972.46,37893.87
8124966417,26105073@N03,-178831.98,42463.28
6330989844,26105073@N03,159335.38,-473428.5
7901226666,26105073@N03,-184593.64,14711.39
8083614230,26105073@N03,-187032.43,24290.85
8080946924,26105073@N03,-178683.37,52020.77
5462730907,26105073@N03,-180230.24,-1390.13
7096687301,26105073@N03,-183258.91,32821.35
5283246870,26105073@N03,-177177.93,-478.36
5313014913,26105073@N03,-190308.59,-3061.77
6996437206,26105073@N03,-323482.67,178678.44
6328611872,26105073@N03,-200329.66,-8817.8
8083485298,26105073@N03,-186791.4,24495.46
7734932654,26105073@N03,-184912.53,6546.53
7735206678,26105073@N03,-191661.16,-3741.8
3751772366,40911801@N00,-295302.95,359037.56
1289427238,10792703@N07,-266072.12,39657.35
3545276252,10792703@N07,-197326.34,373308.58
1288695493,10792703@N07,-266031.73,39397.69
3544464639,10792703@N07,-199626.49,380859.07
3550805108,10792703@N07,-192646.84,365194.9
1978202730,90784314@N00,-149668.3,-133826.73
2667621039,90784314@N00,-191887.98,-67909.17
2353406082,90784314@N00,-73862.99,2911.95
101361428,90784314@N00,-182846.13,-79026.46
52763149,90784314@N00,-190512.3,-85758.65
5304360992,31608675@N00,-337389.43,373517.67
5303776791,31608675@N00,-342778.42,371467.82
5521949184,72825507@N00,-77332.95,-294708.27
5519242182,72825507@N00,-77547.11,-293718.51
4538084127,50751757@N00,-168129.47,-13259.83
3119046430,50751757@N00,-112125.26,78423.24
2201403646,7761999@N05,-323545.22,230549.95
2200608323,7761999@N05,-320776.12,247990.35
2200607375,7761999@N05,-276200.26,143485.25
2603572676,18645779@N00,-215200.83,-24593.54
5634573505,82312377@N00,-217139.11,-24490.9
5634572873,82312377@N00,-211636.95,-22924.76
5635154642,82312377@N00,-216987.94,-24822.67
5635147318,82312377@N00,-217811.89,-19638.51
5635151116,82312377@N00,-211319.96,-22699.06
5184220048,31254726@N03,-89949.53,101199.66
3888641181,11769539@N07,54513.02,-15572.87
3888631693,11769539@N07,86453.79,-44423.52
3888663873,11769539@N07,81054.87,-45281.28
3888601847,11769539@N07,86945.61,-35433.6
3888617323,11769539@N07,85294.74,-22475.91
3888610599,11769539@N07,80610.96,-43096.95
3889426488,11769539@N07,82746.07,-39543.27
3888646775,11769539@N07,48737.21,-18606.45
3889424760,11769539@N07,86577.29,-44746.31
3888629909,11769539@N07,86477.56,-44616.04
3889397138,11769539@N07,83679.02,-9454.2
3888668665,11769539@N07,85963.43,-7941.76
3888633635,11769539@N07,87213.25,-44599.84
3889455802,11769539@N07,80704.44,-45722.13
3888672119,11769539@N07,72119.53,6729.35
3889461174,11769539@N07,85434.1,-7841.82
3889414684,11769539@N07,86666.64,-21596.73
3889388904,11769539@N07,88088.42,-39870.07
3889439902,11769539@N07,48161.61,-19991.52
3888622623,11769539@N07,87546.83,-18825.32
3888650727,11769539@N07,65446.89,-10288.46
3888604725,11769539@N07,83637.43,-9631.49
4770687792,95756589@N00,-220580.52,-44023.81
3797492702,95756589@N00,-220722.03,-43630.74
3796674487,95756589@N00,-219336.16,-44037.99
6507935379,22649973@N05,-210209.57,-23589.28
7669388376,60717073@N00,-95937.32,250079.81
2594440160,35213961@N00,-159520.84,-34574.67
2596564261,35213961@N00,-159467.07,-34332.53
12353001844,57336354@N00,-353823.1,295812.52
5871537497,56619626@N05,162609.7,-451451.34
9202691961,56619626@N05,-210293.23,-41792.88
6031211258,56619626@N05,-180852.93,-11248.89
8310811969,56619626@N05,181069.17,-429863.94
6375077075,56619626@N05,159782.55,-440063.47
8455567014,56619626@N05,-180130.38,-3645.84
9212107419,56619626@N05,-211831.66,-23171.13
8038137418,56619626@N05,159648.37,-473246.69
8014614077,56619626@N05,147340.38,-451037.23
9219334771,56619626@N05,-212582.58,-23350.96
3235514797,73621375@N00,-216898.84,-24557.1
3247381394,73621375@N00,-169440.05,-154514.32
3247379780,73621375@N00,-169783.61,-153722.41
3247377890,73621375@N00,-169511.64,-154354.93
3915158388,26953850@N04,-181028.65,-39530.42
4148908257,26953850@N04,-214208.72,-25647.38
4082484122,26953850@N04,-25799.4,145743.34
4081720805,26953850@N04,-29285.4,147309.92
3045246328,51378257@N00,151823.45,-437777.77
4208954067,51378257@N00,-74837.77,310952.7
4209716458,51378257@N00,-70775.98,324575.89
8415635248,43667163@N00,-303762.84,86388.3
6434453609,43667163@N00,-372704.19,274855.74
9674749483,16462730@N02,-230159.86,-10727.43
9755672362,16462730@N02,-173128.27,-49989.5
7938304264,12430856@N07,-182935.18,401787.85
7953352748,12430856@N07,-164900.42,429266.71
7935311346,12430856@N07,-182916.62,403211.15
6167945096,86078640@N00,-233868.19,37216.09
7296227162,86078640@N00,-338656.23,375046.29
544969725,47989670@N00,-199156.96,32813.54
2884302396,90365334@N00,-139072.24,333979.95
2929114641,90365334@N00,-120822.58,344877.92
2879991421,90365334@N00,-117574.81,338100.86
2913328660,90365334@N00,-139083.37,334273.09
2939465177,90365334@N00,-120746.23,344679.42
6106798979,90365334@N00,-329796.29,208830.94
6068714242,90365334@N00,-236394.39,50228.58
1420748384,90365334@N00,-273038.96,52651.85
2937157394,90365334@N00,-120435,344742.86
239995469,84768384@N00,-289824.72,66340.19
239990834,84768384@N00,-289888.15,66555.08
239986941,84768384@N00,-289761.97,66636.52
239942779,84768384@N00,-290025.49,66356.59
239985718,84768384@N00,-289352.59,66428.05
2316593441,68072874@N00,-217139.11,-24413.17
2317404436,68072874@N00,-213470.64,-21841.37
2317389518,68072874@N00,-211614.14,-21579.46
2317389836,68072874@N00,-211794.55,-21399.51
2317389118,68072874@N00,-211284.65,-21534.99
2316597623,68072874@N00,-212723.37,-26586.93
2317406792,68072874@N00,-211908.51,-20277.24
2316581989,68072874@N00,-211921.46,-21194.56
2317404866,68072874@N00,-213005.51,-25803.2
2316578985,68072874@N00,-211461.67,-21519.16
2317407820,68072874@N00,-213797,-24410.92
5663153486,54899285@N06,-211492.32,-20647.33
5662482273,54899285@N06,-211918.17,-20172.8
5662587639,54899285@N06,-211603.81,-21619.31
5669290244,54899285@N06,-211748.98,-20495.7
5663153306,54899285@N06,-211656.34,-20563.99
5663054690,54899285@N06,-211853.41,-20894.6
5662481609,54899285@N06,-210732.05,-21628.16
5662481037,54899285@N06,-211322.54,-20798.76
5662481263,54899285@N06,-211067.94,-21178.52
457283526,85142239@N00,-219810.57,-40061.21
457252007,85142239@N00,-219864.13,-35969.02
5211695005,22443621@N00,-192083.15,-62706.23
5212294150,22443621@N00,-167655.38,-73254.83
5211696185,22443621@N00,-170211.36,-153545.3
5211696575,22443621@N00,-198841.5,-13417.75
5211694909,22443621@N00,-199625.6,34136.05
5212294686,22443621@N00,-174313.71,-49450.4
5211697177,22443621@N00,-201000.5,-95528.33
5212294052,22443621@N00,-171990.35,-71316.02
5212296308,22443621@N00,-203253.72,-18677.16
5212295898,22443621@N00,-172633.27,-161019.59
8236242665,95394384@N00,-179968.82,-114057.77
5107460189,41463974@N00,-206957.63,345307.19
4870552123,41463974@N00,-216653.65,283732.64
2239999887,41463974@N00,-222465.77,296802.51
2442681015,41463974@N00,-198224.03,290113.02
2442692431,41463974@N00,-198387.73,290399.29
2319571415,41463974@N00,-215883.08,278539.77
2305922355,41463974@N00,-177806.16,274086.33
3043116636,41463974@N00,-208415.63,282455.89
762457426,41463974@N00,-345816.25,342310.42
3162294576,41463974@N00,-209698.81,278095.94
6884037374,7522203@N06,-243643.37,319361.4
7030141935,7522203@N06,-243763.52,319220.8
6884035008,7522203@N06,-244298.08,319741.88
6884038944,7522203@N06,-243838.5,319612.46
6884018368,7522203@N06,-244275.76,319524.86
3837871593,29171072@N08,-211648.02,-21524.44
3837065666,29171072@N08,-169870.02,-153728.35
3837058610,29171072@N08,-169743.63,-186175.85
3836272611,29171072@N08,-158865.24,-196340.84
3836270131,29171072@N08,-157881.47,-197940.68
3838664490,29171072@N08,-215293.52,-20946.88
2773282617,94051362@N00,-350917.94,317613.28
2773856156,94051362@N00,-360856.57,292685.35
2774105148,94051362@N00,-357219.13,299619.26
2776216280,94051362@N00,-360972.82,292480.95
2774228692,94051362@N00,-365401.4,296925.55
2773064617,94051362@N00,-360955.23,292595.09
2773750848,94051362@N00,-360619.27,293069.03
2773379251,94051362@N00,-365942.55,296700.37
13231629793,95912351@N07,-211858.18,-21082.41
13231492945,95912351@N07,-212182.84,-20592.19
13231580995,95912351@N07,-210299.29,-23790.63
13231672463,95912351@N07,-212103.03,-20334.79
13230557313,95912351@N07,-180074.43,-114152.46
13231561195,95912351@N07,-220904.91,-23349.53
13231358513,95912351@N07,-173527.03,-114308.28
13231717453,95912351@N07,-210179.27,-41752.72
6058578301,12009668@N06,-302479.27,85601.55
5983241302,58708751@N00,-215362.94,-24983.01
6051111379,58708751@N00,-218440.11,-18076.09
5983226858,58708751@N00,-215753.29,-25107.81
5983231858,58708751@N00,-215510.14,-25049.94
6051687754,58708751@N00,-217813.86,-19528.81
5982675953,58708751@N00,-215549,-24762.58
6051655872,58708751@N00,-218127.36,-18093.62
6051691474,58708751@N00,-217820.76,-19755.71
5982657903,58708751@N00,-216384.62,-25202.77
6051679520,58708751@N00,-218044.73,-18252.25
6051085097,58708751@N00,-217794.23,-19642.41
10148987516,23822583@N08,-297850.49,79380.44
12071287984,23822583@N08,-220218.42,-30816.01
11118898125,23822583@N08,-297831.64,79658.95
4664566372,11711545@N02,-167249.42,-74605.04
4017193741,11711545@N02,-119275.25,60851.03
4893420336,11711545@N02,-164003.34,-77775.14
5237730417,65355162@N00,-210899.64,-22320.61
5604191683,65355162@N00,-163045.15,-51039.51
4875272034,65355162@N00,-210364.81,-22370.93
5069291141,65355162@N00,-208601.31,-21862.8
5966657411,65355162@N00,-216960.58,-20638.31
